ticker,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,estadoDiscovery
JD,MANUAL,DIARIO FIJO,27.9632,29.0175,28.2050,27.8564,33.4850,33.4850,28.9298,29.6899,39.0068,EN_ZONA_CONFLUENTE
KWEB,MANUAL,DIARIO FIJO,25.4888,26.1850,25.7800,25.5530,29.1350,29.1350,26.6265,26.9693,32.7812,EN_ZONA_CONFLUENTE
PKG,MANUAL,DIARIO FIJO,231.2033,236.4325,233.9200,231.9607,258.3500,258.5900,251.0849,250.7800,285.9767,EN_ZONA_CONFLUENTE
PNC,MANUAL,DIARIO FIJO,238.7361,242.5900,239.3000,237.4236,258.9200,258.9200,243.4283,0,279.1039,EN_ZONA_CONFLUENTE
RF,MANUAL,DIARIO FIJO,29.7693,30.2850,29.8450,29.6016,32.2800,32.4700,30.4944,31.2100,35.1707,EN_ZONA_CONFLUENTE
COO,MANUAL,DIARIO FIJO,69.9389,71.4800,69.7700,69.1173,78.0100,78.0100,73.5060,74.4477,86.0811,EN_ZONA_CONFLUENTE
KBE,MANUAL,DIARIO FIJO,66.8911,67.8475,67.6900,67.2934,71.9000,71.9000,68.2277,69.7555,76.9089,EN_ZONA_CONFLUENTE
PCAR,MANUAL,DIARIO FIJO,123.6002,126.5750,123.6900,122.5170,136.5550,139.1800,128.4939,131.8716,154.7598,EN_ZONA_CONFLUENTE
KRE,MANUAL,DIARIO FIJO,73.0846,74.0900,73.4550,72.9712,78.3500,78.3500,75.5804,75.9891,83.6154,EN_ZONA_CONFLUENTE
AXP,MANUAL,DIARIO FIJO,329.2564,335.7175,329.8800,327.3550,351.8100,363.0950,334.7893,0,396.9336,EN_ZONA_CONFLUENTE
IP,MANUAL,DIARIO FIJO,36.7575,38.2950,37.8000,37.2496,42.8700,44.8100,40.5307,41.5786,52.8625,EN_ZONA_CONFLUENTE
MDY,MANUAL,DIARIO FIJO,686.5405,692.3850,685.7900,682.8896,717.1500,717.1500,693.9372,703.0932,747.7595,EN_ZONA_CONFLUENTE
PH,MANUAL,DIARIO FIJO,958.6499,985.2400,974.0400,964.2321,1097.9100,1097.9100,1009.4500,1043.0714,1237.1701,EN_ZONA_CONFLUENTE
AER,MANUAL,DIARIO FIJO,143.0553,146.0625,145.2500,144.0164,158.8050,158.8050,147.3201,0,174.5547,EN_ZONA_CONFLUENTE
IJH,MANUAL,DIARIO FIJO,75.2354,75.8950,75.2050,74.8671,78.6900,78.6900,76.0157,77.2203,82.1446,EN_ZONA_CONFLUENTE
CFG,MANUAL,DIARIO FIJO,68.0701,69.4525,68.4000,67.7629,75.3100,75.3100,69.8346,72.1464,82.5499,EN_ZONA_CONFLUENTE
FSLY,MANUAL,DIARIO FIJO,21.4280,23.1850,22.3150,21.3880,30.6300,30.6300,23.5090,26.1008,39.8320,EN_ZONA_CONFLUENTE
PINS,MANUAL,DIARIO FIJO,21.4342,22.2525,21.3850,20.9755,25.7200,25.7200,22.6833,23.4191,30.0058,EN_ZONA_CONFLUENTE
HD,MANUAL,DIARIO FIJO,326.8568,332.8825,325.8700,322.1396,358.3000,358.4150,336.5646,340.1673,389.9732,EN_ZONA_CONFLUENTE
VSXY,MANUAL,DIARIO FIJO,83.9212,87.4400,83.5800,81.8770,102.3500,102.3500,88.2526,89.8989,120.7788,EN_ZONA_CONFLUENTE
