rank,ticker,name,state,momentum,rsi14,macd_histogram,close,regime_120d,zone_status,geometry_mode,fib618,fib50,support20,primary_target,reward_risk,rvol20,adv20_usd,liquid_days20,historical_ath,historical_ath_at,distance_to_ath_pct,ath_guard,history_start,history_end,leveraged
1,ARM,Arm Holdings plc American Depositary Shares,CANDIDATO,MACD_RSI_CONFIRMADO,47.952023183911855,0.9524751800517084,252.09,ALCISTA_CAUSAL,EXACT,RECOVERY_AFTER_60D_LOW,248.49378,255.785,234.82,279.44,2.2631796035916936,1.1375526226317485,925010140.8985001,20,452.7,2026-06-18T04:00:00Z,44.314115308151095,NOT_REQUIRED,2023-09-14T04:00:00Z,2026-09-04T04:00:00Z,false
2,KLAC,KLA Corporation Common Stock,CANDIDATO,MACD_RSI_CONFIRMADO,47.38273653405656,0.11428482775509075,185.6,ALCISTA_CAUSAL,EXACT,RECOVERY_AFTER_60D_LOW,185.15676,189.78,170.89,209.37,1.69717861658849,1.4377522332610522,1703149330.5350003,20,307.3743,2026-06-30T04:00:00Z,39.61759327308757,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
3,OC,Owens Corning,CANDIDATO,MACD_RSI_ARMADO,42.17251292259821,-1.822110814741959,138.72,ALCISTA_CAUSAL,EXACT,BASE_60_CAUSAL,135.7541,140.185,133.68,158.92,11.169133600115778,1.73460699986948,120914106.27200003,20,214.53,2024-11-25T05:00:00Z,35.33771500489442,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
4,EME,"EMCOR Group, Inc.",CANDIDATO,MACD_RSI_ARMADO,45.03412364834428,-4.835108136659235,754.16,CORRECCION_ESTABILIZADA,EXACT,RECOVERY_AFTER_60D_LOW,745.0829200000001,767.51,734.26,862.54,10.85262387599642,1.0010506567147537,268868603.907,20,951.96,2026-05-06T04:00:00Z,20.77818395730914,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
5,ETN,"Eaton Corporation, plc Ordinary Shares",CANDIDATO,MACD_RSI_ARMADO,48.00472425208336,-3.2850756139642145,410.85,ALCISTA_CAUSAL,EXACT,BASE_60_CAUSAL,399.34656,410.91999999999996,390.71,459.96,7.018238743203283,1.1074430873546248,725505425.3054998,20,478,2026-08-12T04:00:00Z,14.04811715481171,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
6,SHOO,"Steven Madden, Ltd. Common Stock",CANDIDATO,MACD_RSI_ARMADO,44.600423614931984,-0.49794218034118237,43.68,ALCISTA_CAUSAL,EXACT,BASE_60_CAUSAL,42.859100000000005,44.045,41.44,48.88,4.242759495454842,1.3284173256497196,38582532.562,20,51.56,2021-11-17T05:00:00Z,15.283165244375487,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
7,POET,POET Technologies Inc. Common Shares,CANDIDATO,MACD_RSI_ARMADO,48.38903767482801,-0.054228538587688446,7.92,ALCISTA_CAUSAL,EXACT,RECOVERY_AFTER_60D_LOW,7.596220000000001,7.975,7.1,9.58,3.997783241304251,1.1449679749985266,78430717.21750003,20,20.81,2026-05-14T04:00:00Z,61.941374339259966,NOT_REQUIRED,2022-03-14T04:00:00Z,2026-09-04T04:00:00Z,false
8,FORM,"FormFactor, Inc. FormFactor, Inc. Common Stock",CANDIDATO,MACD_RSI_ARMADO,44.90684721509925,-1.6129582593110081,103.9,CORRECCION_ESTABILIZADA,NEAR_BELOW_F618,RECOVERY_AFTER_60D_LOW,104.34922,110.805,95.41,138.16,3.782296441971444,1.0636510753102009,119427994.24924998,20,160.27,2026-06-30T04:00:00Z,35.17189742309852,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
9,PSI,Invesco Semiconductors ETF,CANDIDATO,MACD_RSI_ARMADO,46.55940709776113,-0.44971989388153233,136,ALCISTA_CAUSAL,EXACT,RECOVERY_AFTER_60D_LOW,134.7194,139.05,127.93,157.4,3.340589742834418,1.8367982957964606,51715344.417500004,20,189.24,2026-06-30T04:00:00Z,28.13358697949694,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
10,AOS,A.O. Smith Corporation,CANDIDATO,MACD_RSI_ARMADO,46.943026892679086,-0.31291102803264725,60.48,CORRECCION_ESTABILIZADA,EXACT,BASE_60_CAUSAL,59.94974,60.725,58.49,63.8,2.637634099223155,1.058619981440148,76393827.2345,20,92.445,2024-07-18T04:00:00Z,34.57731624208989,NOT_REQUIRED,2016-01-04T05:00:00Z,2026-09-04T04:00:00Z,false
