ticker,schemaVersion,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,asOf,fuenteDatos,swingSma20,swingSma50,swingTarget,pivotLowAnchorAt,breakoutAnchorAt,swingVerdict,swingDirection,swingScore,swingEntryGatePassed,stImpulseLow,stImpulseHigh,stImpulseLowAt,stImpulseHighAt,stFib618,stFib50,stFib1618,stZoneLow,stZoneHigh,stSupport20,stResistance20,stInvalidation,stPrimaryTarget,stExtendedTarget,stGeometryStatus,stMaturity,stEligible,stReasons,geriZoneLow,geriZoneHigh,geriInvalidation,geriActiveLevelKind,geriActiveLevelPrice,geriActiveLevelSequence,geriMaturity,geriTradeSide,geriBounceConfirmed,geriFastConfirmation,geriFourHourConfirmation,geriReasons,geriN1Kind,geriN1Price,geriN2Kind,geriN2Price,geriN3Kind,geriN3Price,swingInvalidationSources,supportState,supportConfirmationType,supportZoneLow,supportZoneCenter,supportZoneHigh,supportInvalidation,supportScore,supportReactionScore,supportReversalScore,supportActionabilityScore,supportZonePosition,supportSources,supportImpulseOrigin,supportImpulseOriginAt,supportImpulsePeak,supportImpulseAdvancePercent,supportFib50,supportFib618,supportFib786,supportReasons
GFR,3,MANUAL,DIARIO FIJO,6.0519,6.2543,5.9500,5.8608,7.1000,7.1600,6.1531,6.3201,8.2909,2026-09-04T20:00:00Z,ALPACA_DIRECTO,6.3860,6.1822,6.7734,2026-08-27T04:00:00Z,2026-08-12T04:00:00Z,WATCH,BULLISH,64.00,false,5.3300,7.1600,2026-06-18T04:00:00Z,2026-08-12T04:00:00Z,6.0291,6.2450,8.2909,6.0291,6.2450,5.8400,7.1600,5.7388,7.1600,8.2909,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,5.7752,5.8448,5.7403,SUPPORT,5.8100,3,EXTENDED,LONG,false,false,false,manual_monitor_only|impulse_extended_awaiting_pullback|trade_side:LONG|active_level:3:SUPPORT,SUPPORT,6.1000,RESISTANCE,6.5090,SUPPORT,5.8100,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
COO,3,MANUAL,DIARIO FIJO,69.1270,70.6372,69.0750,68.0389,76.8200,78.1050,69.8821,73.8039,86.2410,2026-09-04T20:00:00Z,ALPACA_DIRECTO,73.7795,72.6452,72.6922,2026-09-01T04:00:00Z,2026-08-10T04:00:00Z,AVOID,BEARISH,30.00,false,64.9400,78.1050,2026-06-17T04:00:00Z,2026-08-19T04:00:00Z,69.9690,71.5225,86.2410,69.9690,71.5225,69.0750,78.1050,68.3199,78.1050,86.2410,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|base_gate_failed|entry_rejection_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,RESISTANCE,71.0700,1,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:1:RESISTANCE,RESISTANCE,71.0700,SIN_DATO,0,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
OC,3,MANUAL,DIARIO FIJO,138.5577,143.0052,132.5850,130.5962,158.9200,159.8760,140.7814,146.8828,187.6767,2026-09-04T20:00:00Z,ALPACA_DIRECTO,146.7815,145.3016,154.9976,2026-08-20T04:00:00Z,2026-08-05T04:00:00Z,WATCH,BULLISH,30.00,false,114.9800,159.9100,2026-06-11T04:00:00Z,2026-06-30T04:00:00Z,132.1433,137.4450,187.6767,132.1433,137.4450,132.5850,159.8760,130.3613,159.8760,187.6767,ENGINE_ASSESSMENT,ST2,true,swing_trade_st2|support_confluence|entry_rejection_pending|entry_vwap_gate_pending|recovery_observation_watching,0,0,0,SUPPORT,132.5850,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,135.8700,SUPPORT,132.5850,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
FDX,3,MANUAL,DIARIO FIJO,315.5257,323.3592,315.3250,310.5951,339.3500,341.6900,326.6329,328.8648,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,328.4665,319.4424,346.1898,2026-08-24T04:00:00Z,2026-08-13T04:00:00Z,WATCH,BULLISH,49.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,304.1800,2,BUILDING,SHORT,false,false,false,manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,313.7500,SUPPORT,304.1800,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
TTC,3,MANUAL,DIARIO FIJO,89.6904,92.3597,91.0250,89.6596,100.3500,100.8000,97.1001,97.4611,108.3775,2026-09-04T20:00:00Z,ALPACA_DIRECTO,97.8730,96.1750,100.8508,2026-08-20T04:00:00Z,2026-08-04T04:00:00Z,WATCH,BULLISH,21.00,false,88.5386,100.8000,2026-06-15T04:00:00Z,2026-08-26T04:00:00Z,93.2225,94.6693,108.3775,93.2225,94.6693,91.0250,100.8000,89.6904,100.8000,108.3775,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,90.2428,2,BUILDING,SHORT,false,false,false,manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,96.6400,SUPPORT,90.2428,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
TMUS,3,MANUAL,DIARIO FIJO,179.5421,183.6380,176.2200,173.5767,188.0200,189.8700,183.0047,181.2082,219.3695,2026-09-04T20:00:00Z,ALPACA_DIRECTO,181.5900,181.4180,197.4366,2026-08-27T04:00:00Z,2026-07-16T04:00:00Z,WATCH,BULLISH,64.00,false,165.6600,198.8550,2026-06-30T04:00:00Z,2026-07-17T04:00:00Z,178.3405,182.2575,219.3695,178.3405,182.2575,173.0950,189.8700,171.0470,189.8700,219.3695,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,180.6500,1,BUILDING,LONG,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:LONG|active_level:1:SUPPORT,SUPPORT,180.6500,SIN_DATO,0,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
ETN,3,MANUAL,DIARIO FIJO,408.5758,422.0691,384.7701,378.9985,459.9600,478.0000,404.8149,422.0337,552.0828,2026-09-04T20:00:00Z,ALPACA_DIRECTO,423.1240,415.3224,474.5830,2026-08-24T04:00:00Z,2026-08-11T04:00:00Z,WATCH,BULLISH,41.00,false,358.1250,478.0000,2026-07-29T04:00:00Z,2026-08-12T04:00:00Z,403.9173,418.0625,552.0828,403.9173,418.0625,384.7701,478.0000,378.0235,478.0000,552.0828,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|recovery_observation_watching,0,0,0,SUPPORT,384.7701,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,394.8900,SUPPORT,384.7701,SIN_DATO,0,SWING_DIARIO,LIQUIDITY_SWEEP,NONE,413.9731,415.5652,417.1573,403.8531,59.0000,51.6000,0.0000,25.2382,BELOW_ZONE,daily_sma50|weekly_sma10,358.1250,2026-07-29T04:00:00Z,478.0000,33.4729,0,0,0,liquidity_sweep_waiting_for_reclaim
ENR,3,MANUAL,DIARIO FIJO,20.9602,21.8135,20.2400,19.9364,22.7700,23.0300,20.9588,21.8812,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,21.8245,21.3868,23.7872,2026-09-01T04:00:00Z,2026-08-05T04:00:00Z,WATCH,BULLISH,31.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,23.0950,2,BUILDING,LONG,false,false,false,manual_monitor_only|g0_structure_building|trade_side:LONG|active_level:2:RESISTANCE,SUPPORT,21.0000,RESISTANCE,23.0950,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
SHOO,3,MANUAL,DIARIO FIJO,43.7153,44.9814,41.4000,40.7790,48.8800,49.3350,42.3571,46.1841,56.7699,2026-09-04T20:00:00Z,ALPACA_DIRECTO,45.4950,44.3483,49.4820,2026-09-01T04:00:00Z,2026-07-30T04:00:00Z,WATCH,BULLISH,37.00,false,38.2600,49.7000,2026-07-08T04:00:00Z,2026-08-06T04:00:00Z,42.6301,43.9800,56.7699,42.6301,43.9800,41.4000,49.3350,40.7670,49.3350,56.7699,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|recovery_observation_watching,0,0,0,SUPPORT,41.9900,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,42.6700,SUPPORT,41.9900,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
FWRG,3,MANUAL,DIARIO FIJO,11.9087,12.4646,11.6300,11.4556,13.1700,13.4000,12.1866,12.5469,15.3951,2026-09-04T20:00:00Z,ALPACA_DIRECTO,12.4588,12.5552,13.2088,2026-08-27T04:00:00Z,2026-07-01T04:00:00Z,WATCH,BULLISH,13.00,false,10.8000,13.6400,2026-06-11T04:00:00Z,2026-07-01T04:00:00Z,11.8849,12.2200,15.3951,11.8849,12.2200,11.5300,13.4000,11.2521,13.4000,15.3951,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,11.4195,11.6405,11.3090,SUPPORT,11.5300,3,ARMED,LONG,false,false,false,structural_chain_rebased|manual_monitor_only|g0_level_armed|trade_side:LONG|active_level:3:SUPPORT,SUPPORT,12.0900,RESISTANCE,12.5150,SUPPORT,11.5300,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
