ticker,schemaVersion,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,asOf,fuenteDatos,swingSma20,swingSma50,swingTarget,pivotLowAnchorAt,breakoutAnchorAt,swingVerdict,swingDirection,swingScore,swingEntryGatePassed,stImpulseLow,stImpulseHigh,stImpulseLowAt,stImpulseHighAt,stFib618,stFib50,stFib1618,stZoneLow,stZoneHigh,stSupport20,stResistance20,stInvalidation,stPrimaryTarget,stExtendedTarget,stGeometryStatus,stMaturity,stEligible,stReasons,geriZoneLow,geriZoneHigh,geriInvalidation,geriActiveLevelKind,geriActiveLevelPrice,geriActiveLevelSequence,geriMaturity,geriTradeSide,geriBounceConfirmed,geriFastConfirmation,geriFourHourConfirmation,geriReasons,geriN1Kind,geriN1Price,geriN2Kind,geriN2Price,geriN3Kind,geriN3Price,swingInvalidationSources,supportState,supportConfirmationType,supportZoneLow,supportZoneCenter,supportZoneHigh,supportInvalidation,supportScore,supportReactionScore,supportReversalScore,supportActionabilityScore,supportZonePosition,supportSources,supportImpulseOrigin,supportImpulseOriginAt,supportImpulsePeak,supportImpulseAdvancePercent,supportFib50,supportFib618,supportFib786,supportReasons
ARM,3,MANUAL,DIARIO FIJO,246.2615,260.4186,225.4600,222.0781,282.5700,299.2850,243.7641,0,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,253.3400,273.5788,312.1438,2026-08-24T04:00:00Z,SIN_DATO,WATCH,BULLISH,4.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,232.8800,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,236.4400,SUPPORT,232.8800,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
KLAC,3,MANUAL,DIARIO FIJO,184.0406,191.7005,167.0500,164.5443,209.3700,214.8000,178.1723,208.0360,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,187.8705,205.7612,227.5314,2026-08-24T04:00:00Z,2026-06-30T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,167.0500,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,172.9500,SUPPORT,167.0500,SIN_DATO,0,SWING_DIARIO,FIRST_TOUCH,NONE,184.2340,185.9653,187.8920,178.4891,69.0000,43.6000,0.0000,39.4100,IN_ZONE,pivot_daily_356|weekly_sma30|round_number,174.6000,2026-08-03T04:00:00Z,214.8000,23.0241,0,0,0,key_support_first_touch
OC,3,MANUAL,DIARIO FIJO,138.5577,143.0052,132.5850,130.5962,158.9200,159.8760,140.7814,146.8828,187.6767,2026-09-04T20:00:00Z,ALPACA_DIRECTO,146.7815,145.3016,154.9976,2026-08-20T04:00:00Z,2026-08-05T04:00:00Z,WATCH,BULLISH,30.00,false,114.9800,159.9100,2026-06-11T04:00:00Z,2026-06-30T04:00:00Z,132.1433,137.4450,187.6767,132.1433,137.4450,132.5850,159.8760,130.3613,159.8760,187.6767,ENGINE_ASSESSMENT,ST2,true,swing_trade_st2|support_confluence|entry_rejection_pending|entry_vwap_gate_pending|recovery_observation_watching,0,0,0,SUPPORT,132.5850,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,135.8700,SUPPORT,132.5850,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
EME,3,MANUAL,DIARIO FIJO,755.2838,780.8455,722.0800,711.2488,862.5400,864.8300,740.0464,768.0646,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,783.3535,779.2172,839.8024,2026-09-01T04:00:00Z,2026-08-17T04:00:00Z,AVOID,BEARISH,35.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,724.2500,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,738.0200,SUPPORT,724.2500,SIN_DATO,0,SWING_DIARIO,FIRST_TOUCH,NONE,739.2214,748.9496,760.9537,720.0501,94.0000,45.6000,0.0000,48.8600,IN_ZONE,weekly_sma50|fib_0500|fib_0618|fib_0786|round_number,668.8200,2026-07-29T04:00:00Z,864.8300,29.3068,758.3975,751.9069,742.6661,key_support_first_touch
ETN,3,MANUAL,DIARIO FIJO,408.5758,422.0691,384.7701,378.9985,459.9600,478.0000,404.8149,422.0337,552.0828,2026-09-04T20:00:00Z,ALPACA_DIRECTO,423.1240,415.3224,474.5830,2026-08-24T04:00:00Z,2026-08-11T04:00:00Z,WATCH,BULLISH,41.00,false,358.1250,478.0000,2026-07-29T04:00:00Z,2026-08-12T04:00:00Z,403.9173,418.0625,552.0828,403.9173,418.0625,384.7701,478.0000,378.0235,478.0000,552.0828,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|recovery_observation_watching,0,0,0,SUPPORT,384.7701,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,394.8900,SUPPORT,384.7701,SIN_DATO,0,SWING_DIARIO,LIQUIDITY_SWEEP,NONE,413.9731,415.5652,417.1573,403.8531,59.0000,51.6000,0.0000,25.2382,BELOW_ZONE,daily_sma50|weekly_sma10,358.1250,2026-07-29T04:00:00Z,478.0000,33.4729,0,0,0,liquidity_sweep_waiting_for_reclaim
SHOO,3,MANUAL,DIARIO FIJO,43.7153,44.9814,41.4000,40.7790,48.8800,49.3350,42.3571,46.1841,56.7699,2026-09-04T20:00:00Z,ALPACA_DIRECTO,45.4950,44.3483,49.4820,2026-09-01T04:00:00Z,2026-07-30T04:00:00Z,WATCH,BULLISH,37.00,false,38.2600,49.7000,2026-07-08T04:00:00Z,2026-08-06T04:00:00Z,42.6301,43.9800,56.7699,42.6301,43.9800,41.4000,49.3350,40.7670,49.3350,56.7699,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|recovery_observation_watching,0,0,0,SUPPORT,41.9900,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,42.6700,SUPPORT,41.9900,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
POET,3,MANUAL,DIARIO FIJO,7.9489,8.4068,7.0200,6.9147,9.5800,10.0000,7.4702,8.2154,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,8.2025,8.1778,9.9156,2026-09-02T04:00:00Z,2026-08-14T04:00:00Z,AVOID,BEARISH,35.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,6.3600,2,BUILDING,SHORT,false,false,false,manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,6.9300,SUPPORT,6.3600,SIN_DATO,0,SWING_DIARIO,FIRST_TOUCH,NONE,7.8038,8.0224,8.1784,7.4604,100.0000,48.0000,0.0000,51.8000,IN_ZONE,pivot_daily_365|daily_sma200|weekly_sma10|weekly_sma50|round_number,7.8000,2026-08-06T04:00:00Z,10.0000,28.2051,0,0,0,key_support_first_touch
FORM,3,MANUAL,DIARIO FIJO,105.2222,112.6579,92.0500,90.6693,138.1600,139.8000,113.1949,108.9400,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,113.0898,114.0637,130.3614,2026-08-06T04:00:00Z,2026-08-17T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,92.0500,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,97.5000,SUPPORT,92.0500,SIN_DATO,0,SWING_DIARIO,FIRST_TOUCH,NONE,108.9964,112.3950,114.8073,103.4196,100.0000,48.0000,0.0000,31.5191,BELOW_ZONE,pivot_daily_356|pivot_weekly_401|pivot_weekly_404|daily_sma50|weekly_sma10,82.3401,2026-07-29T04:00:00Z,139.8000,69.7836,0,0,0,key_support_first_touch
PSI,3,MANUAL,DIARIO FIJO,134.2875,139.8358,124.9400,123.0659,157.4000,158.6400,132.4600,137.0616,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,139.7985,146.4890,161.8682,2026-08-24T04:00:00Z,2026-08-17T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,140.5100,3,ARMED,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_level_armed|trade_side:SHORT|active_level:3:RESISTANCE,RESISTANCE,137.2050,SUPPORT,135.9800,RESISTANCE,140.5100,SWING_DIARIO,STRUCTURE_CONFIRMED,BASE_BREAKOUT,131.1152,132.2708,133.4265,126.9540,64.0000,83.6000,70.0000,65.7024,ABOVE_ZONE,pivot_daily_368|weekly_sma30,120.5990,2026-07-29T04:00:00Z,158.6400,31.5434,0,0,0,reaction_followed_by_higher_high|higher_low_holds_above_support
AOS,3,MANUAL,DIARIO FIJO,59.0095,60.6241,58.4100,57.5339,63.9800,64.3200,59.8168,61.6589,69.4915,2026-09-04T20:00:00Z,ALPACA_DIRECTO,61.6240,61.3236,66.3722,2026-09-01T04:00:00Z,2026-07-28T04:00:00Z,WATCH,BULLISH,51.00,false,57.1300,64.7700,2026-06-23T04:00:00Z,2026-07-30T04:00:00Z,60.0485,60.9500,69.4915,60.0485,60.9500,58.4100,64.0900,57.6027,64.0900,69.4915,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|recovery_observation_watching,0,0,0,RESISTANCE,64.3200,2,BUILDING,LONG,false,false,false,manual_monitor_only|g0_structure_building|trade_side:LONG|active_level:2:RESISTANCE,SUPPORT,59.0500,RESISTANCE,64.3200,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
